name,englishName,scientificName,categoryName,subcategoryName,origin,difficulty,tempMin,tempMax,phMin,phMax,description,careTip,environment,husbandry_features,notes,localImagePath,size,lifespan,diet,compatibility
昭和三色,Showa Koi,Cyprinus rubrofuscus,冷水/国粹,锦鲤/原生,日本,medium,5,30,7,8.5,黑底红白纹，胸鳍有墨。,池养首选，甚至可长到1米。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_011_cyprinus.jpg,60-100,25-35,杂食,同类
大正三色,Taisho Sanke,Cyprinus rubrofuscus,冷水/国粹,锦鲤/原生,日本,medium,5,30,7,8.5,白底红黑纹，头无黑斑。,需强大过滤，能吃能拉。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_012_cyprinus.jpg,60-100,25-35,杂食,同类
红白锦鲤,Kohaku,Cyprinus rubrofuscus,冷水/国粹,锦鲤/原生,日本,medium,5,30,7,8.5,白底红纹，始于红白终于红白。,鉴赏标准极高。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_013_cyprinus.jpg,60-100,25-35,杂食,同类
写鲤,Utsurimono,Cyprinus rubrofuscus,冷水/国粹,锦鲤/原生,日本,medium,5,30,7,8.5,黑底单色斑纹（白写、绯写）。,对比强烈，非常有韵味。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_014_cyprinus.jpg,60-100,25-35,杂食,同类
黄金锦鲤,Ogon Koi,Cyprinus rubrofuscus,冷水/国粹,锦鲤/原生,日本,medium,5,30,7,8.5,通体金黄单色。,在浊水中也清晰可见，寓意招财。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_015_cyprinus.jpg,60-100,25-35,杂食,同类
中国斗鱼,Paradise Fish,Macropodus opercularis,迷鳃/斗鱼,原生斗鱼,中国,easy,10,28,6,8,国斗，耐寒耐低氧。,防跳，雄性不可混养。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_中国斗鱼_macropodus.jpg,6-8,3-5,杂食,雄性单养
圆尾斗鱼,Round Tail Paradise Fish,Macropodus ocellatus,迷鳃/斗鱼,原生斗鱼,中国北方,easy,4,25,6,8,尾鳍圆形，耐寒性极强。,甚至可冰下越冬。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_圆尾斗鱼_macropodus.jpg,5-7,3-5,杂食,雄性单养
白云金丝,White Cloud Minnow,Tanichthys albonubes,鲤科/小型,亚洲小型,中国,easy,5,26,6,8,小型冷水鱼，群游美丽。,无需加热，适合草缸。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_018_tanichthys.jpg,3-4,3-5,杂食,群居温和
鳑鲏,Bitterling,Rhodeus,冷水/国粹,锦鲤/原生,东亚,medium,10,24,6.5,7.5,需河蚌繁殖，发色艳丽。,原生缸必备，高氧冷水。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_鳑鲏_rhodeus.jpg,4-8,3-5,杂食,群居温和
宽鳍鱲,Zacco platypus,Zacco platypus,冷水/国粹,锦鲤/原生,东亚,hard,10,25,7,8,溪流霸主，体色如彩虹。,需极强水流和高氧，防止跳缸。,原产于河流或湖泊，适应性极强。锦鲤适合大型地缸或池塘饲养，需要极大的活动空间。原生鱼多喜好有水流、底砂和石块的模拟溪流环境。,生长迅速，体型巨大（尤其是锦鲤）。杂食性，几乎不挑食。需要高溶解氧环境，夏季注意防暑降温，冬季可自然越冬（锦鲤）。,锦鲤跳跃能力强，新入缸/池需加盖。排泄能力极强，生化过滤必须足够强大。体表粘液丰富，抓取时需小心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_宽鳍鱲_zacco.jpg,10-15,3-5,杂食,同类
红绿灯,Neon Tetra,Paracheirodon innesi,灯科/加拉辛,南美小型,亚马逊,easy,20,26,5.5,7,最经典灯鱼，红蓝条纹。,水质稳后放入，新水易死。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_021_paracheirodon.jpg,2-3,5-8,杂食,群居温和
宝莲灯,Cardinal Tetra,Paracheirodon axelrodi,灯科/加拉辛,南美小型,南美,medium,24,30,4.5,6.5,红纹贯穿全身，比红绿灯大。,喜老水高温。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_022_paracheirodon.jpg,3-4,5-8,杂食,群居温和
红鼻剪刀,Rummy-nose Tetra,Hemigrammus rhodostomus,灯科/加拉辛,南美小型,南美,medium,24,28,6,7,头红尾格纹，群游之王。,水质指示鱼，状态差头不红。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_红鼻剪刀_hemigrammus.jpg,4-5,5-8,杂食,群居温和
黑幻影,Black Phantom Tetra,Hyphessobrycon megalopterus,灯科/加拉辛,南美小型,南美,easy,22,28,6,7.5,黑斑高背鳍，夸示行为有趣。,适合暗色造景。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_final_黑幻影_hyphessobrycon.jpg,4-5,5-8,杂食,群居温和
帝王灯,Emperor Tetra,Nematobrycon palmeri,灯科/加拉辛,南美小型,哥伦比亚,easy,23,27,6,7.5,蓝紫光泽，公鱼尾鳍延长。,有些领地意识。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_帝王灯_nematobrycon.jpg,5-6,5-8,杂食,群居温和
扯旗鱼,Serpae Tetra,Hyphessobrycon eques,灯科/加拉辛,南美小型,南美,easy,22,26,6,7.5,红色体色，背鳍黑斑。,嘴贱咬鳍，勿混养长鳍鱼。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_final_扯旗鱼_hyphessobrycon.jpg,4-5,3-5,杂食,有攻击性
黑莲灯,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,灯科/加拉辛,南美小型,巴西,easy,22,27,6,7.5,黑白条纹，低调奢华。,极其皮实。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_黑莲灯_hyphessobrycon.jpg,3-4,5-8,杂食,群居温和
金丝灯,Gold Tetra,Hemigrammus rodwayi,灯科/加拉辛,南美小型,圭亚那,medium,24,28,6,7,体表有金色反光粉。,金色来自寄生虫（无害），人工繁殖会褪色。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_final_金丝灯_hemigrammus.jpg,4-5,5-8,杂食,群居温和
柠檬灯,Lemon Tetra,Hyphessobrycon pulchripinnis,灯科/加拉辛,南美小型,南美,easy,23,28,6,7.5,通体柠檬黄，眼红。,群养发色极美。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_柠檬灯_hyphessobrycon.jpg,4-5,5-8,杂食,群居温和
企鹅灯,Penguin Tetra,Thayeria boehlkei,灯科/加拉辛,南美小型,亚马逊,easy,22,28,6,7.5,黑色条纹拐弯至尾叶。,泳姿独特，头朝上游动。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_企鹅灯_thayeria.jpg,5-6,5-8,杂食,群居温和
玻璃拉拉,Glass Fish,Parambassis ranga,鲤科/小型,亚洲小型,亚洲,medium,20,26,7,8,通体透明可见骨骼。,市面多为人工注色（掉色），建议买原色。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_玻璃拉拉_parambassis.jpg,5-8,3-5,杂食,群居温和
三角灯,Harlequin Rasbora,Trigonostigma heteromorpha,鲤科/小型,亚洲小型,东南亚,easy,22,27,5.5,7,体侧黑色三角斑。,喜酸性老水，群游紧密。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_三角灯_trigonostigma.jpg,4-5,5-8,杂食,群居温和
一线长虹,Glowlight Tetra,Hemigrammus erythrozonus,灯科/加拉辛,南美小型,圭亚那,easy,22,28,6,7.5,透明体红橙亮线。,暗缸中如发光灯管。,多生活在亚马逊雨林的黑水或清水流域。喜好弱酸性软水（老水），光线不宜过强，适合种植丰富水草的草缸环境。,群游性强，建议单品种10条以上群养以展示群游美感。性格多温和，适合与短鲷、鼠鱼等混养。对水质波动敏感。,新鱼入缸极易产生'白点病'，需严格过水。胆小易受惊，避免剧烈拍打鱼缸。体型微小，避免与大嘴鱼混养以免成为点心。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_final_一线长虹_hemigrammus.jpg,4-5,5-8,杂食,群居温和
红腹食人鱼,Red-bellied Piranha,Pygocentrus nattereri,灯科/加拉辛,其他加拉辛,亚马逊,hard,24,28,6,7,下颚强壮，群居肉食。,胆小，需大群养，勿手贱。,原生环境多样，通常为开阔水域。部分品种（如食人鱼）生活在流速缓慢的河湾。,食性各异，银板偏素食，食人鱼为肉食。多具有一定的领地性或特殊的摄食习惯。,注意区分品种习性，食人鱼切勿徒手操作。大型加拉辛（如银板）会啃食水草，不适合草缸。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_红腹食人鱼_pygocentrus.jpg,25-35,10-15,肉食,同类群养
银板,Silver Dollar,Metynnis argenteus,灯科/加拉辛,其他加拉辛,南美,easy,24,28,6,7,素食版食人鱼。,吃草机器，适合裸缸。,原生环境多样，通常为开阔水域。部分品种（如食人鱼）生活在流速缓慢的河湾。,食性各异，银板偏素食，食人鱼为肉食。多具有一定的领地性或特殊的摄食习惯。,注意区分品种习性，食人鱼切勿徒手操作。大型加拉辛（如银板）会啃食水草，不适合草缸。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_银板_metynnis.jpg,15-20,10-15,素食,群居温和
枯叶鱼,Leaf Fish,Monocirrhus polyacanthus,灯科/加拉辛,其他加拉辛,亚马逊,hard,24,28,5,6.5,拟态枯叶，捕食小鱼。,只吃活食，极难开口饲料。,原生环境多样，通常为开阔水域。部分品种（如食人鱼）生活在流速缓慢的河湾。,食性各异，银板偏素食，食人鱼为肉食。多具有一定的领地性或特殊的摄食习惯。,注意区分品种习性，食人鱼切勿徒手操作。大型加拉辛（如银板）会啃食水草，不适合草缸。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_final_枯叶鱼_monocirrhus.jpg,8-10,5-8,肉食,单养
斑马鱼,Zebrafish,Danio rerio,鲤科/小型,热门小型,南亚,easy,18,26,6.5,7.5,条纹如斑马，耐寒。,防跳，闯缸神器。,适应性广泛，多生活在溪流或静水中。大都喜欢中性水质，适宜搭配沉木和水草。,活泼好动，游动速度快。抢食能力强，混养时需注意其他动作缓慢的鱼是否能吃到食物。,部分品种（如虎皮鱼）有'咬鳍'习性，不宜与长鳍鱼（如孔雀、神仙）混养。斑马鱼等极其耐寒，适合新手。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_037_danio.jpg,4-5,3-5,杂食,群居温和
虎皮鱼,Tiger Barb,Puntigrus tetrazona,鲤科/小型,热门小型,东南亚,easy,20,26,6,7.5,黄身黑纹，活泼嘴贱。,必须群养分散攻击力。,适应性广泛，多生活在溪流或静水中。大都喜欢中性水质，适宜搭配沉木和水草。,活泼好动，游动速度快。抢食能力强，混养时需注意其他动作缓慢的鱼是否能吃到食物。,部分品种（如虎皮鱼）有'咬鳍'习性，不宜与长鳍鱼（如孔雀、神仙）混养。斑马鱼等极其耐寒，适合新手。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_038_puntigrus.jpg,5-7,5-7,杂食,有攻击性
